CATEGORY	RESOURCE TYPE	RESOURCE NAME	RESOURCE GROUP
Networking	azurerm_nat_gateway	nat-gw-1	rg-network-rewn-prod-cin
Networking	azurerm_subnet_nat_gateway_association	aks-nat-gw-1-assoc	rg-network-rewn-prod-cin
Networking	azurerm_public_ip	pip-nat-gw-2	rg-network-rewn-prod-cin
Networking	azurerm_nat_gateway	nat-gw-2	rg-network-rewn-prod-cin
Networking	azurerm_subnet_nat_gateway_association	storage-nat-gw-2-assoc	rg-network-rewn-prod-cin
Networking	azurerm_public_ip	pip-bastion	rg-network-rewn-prod-cin
Networking	azurerm_bastion_host	bastion-rewn-prod-cin	rg-network-rewn-prod-cin
Networking	azurerm_private_dns_zone	pdz-mysql-rewn-prod	rg-network-rewn-prod-cin
Networking	azurerm_private_dns_zone	pdz-cosmos-rewn-prod	rg-network-rewn-prod-cin
Networking	azurerm_private_dns_zone	pdz-storage-rewn-prod	rg-network-rewn-prod-cin
Networking	azurerm_private_dns_zone	pdz-redis-rewn-prod	rg-network-rewn-prod-cin
Networking	azurerm_private_dns_zone_virtual_network_link	pdz-vnet-link-mysql	rg-network-rewn-prod-cin
Networking	azurerm_private_dns_zone_virtual_network_link	pdz-vnet-link-cosmos	rg-network-rewn-prod-cin
Networking	azurerm_private_dns_zone_virtual_network_link	pdz-vnet-link-storage	rg-network-rewn-prod-cin
Networking	azurerm_private_dns_zone_virtual_network_link	pdz-vnet-link-redis	rg-network-rewn-prod-cin
Networking	azurerm_route_table	rt-aks	rg-network-rewn-prod-cin
Networking	azurerm_route_table	rt-database	rg-network-rewn-prod-cin
Networking	azurerm_subnet_route_table_association	aks-rt-assoc	rg-network-rewn-prod-cin
Networking	azurerm_subnet_route_table_association	database-rt-assoc	rg-network-rewn-prod-cin
Compute	azurerm_kubernetes_cluster	aks-rewn-prod-cin	rg-aks-rewn-prod-cin
Compute	azurerm_container_registry	acrreewnprod	rg-aks-rewn-prod-cin
Compute	azurerm_role_assignment	aks-acr-pull-role	rg-aks-rewn-prod-cin
Database	azurerm_mysql_flexible_server	mysql-rewn-prod-cin	rg-db-rewn-prod-cin
Database	azurerm_mysql_flexible_server_configuration	mysql-config	rg-db-rewn-prod-cin
Database	azurerm_private_endpoint	pep-mysql-prod-cin	rg-db-rewn-prod-cin
Database	azurerm_cosmosdb_account	cosmos-mongo-rewn-prod-cin	rg-db-rewn-prod-cin
Database	azurerm_cosmosdb_mongo_database	cosmos-db-primary	rg-db-rewn-prod-cin
Database	azurerm_cosmosdb_mongo_collection	cosmos-coll-primary	rg-db-rewn-prod-cin
Database	azurerm_private_endpoint	pep-cosmos-prod-cin	rg-db-rewn-prod-cin
Database	azurerm_redis_cache	redis-rewn-prod-cin	rg-db-rewn-prod-cin
Database	azurerm_redis_firewall_rule	redis-fw-vnet	rg-db-rewn-prod-cin
Storage	azurerm_storage_account	strewnappprod001	rg-storage-rewn-prod-cin
Storage	azurerm_storage_container	rewn-authorizations	rg-storage-rewn-prod-cin
Storage	azurerm_storage_container	config	rg-storage-rewn-prod-cin
Storage	azurerm_storage_container	data	rg-storage-rewn-prod-cin
Storage	azurerm_storage_container	rewn-deployment	rg-storage-rewn-prod-cin
Storage	azurerm_storage_container	dialer-user-files	rg-storage-rewn-prod-cin
Storage	azurerm_storage_container	s3generalstorage	rg-storage-rewn-prod-cin
Storage	azurerm_storage_container	s3userstorage	rg-storage-rewn-prod-cin
Storage	azurerm_storage_container	imdc-vacancy	rg-storage-rewn-prod-cin
Storage	azurerm_storage_container	rewn-scrapers-lambda	rg-storage-rewn-prod-cin
Storage	azurerm_storage_share	production-efs	rg-storage-rewn-prod-cin
Storage	azurerm_storage_account	strewndataprod001	rg-storage-rewn-prod-cin
Storage	azurerm_storage_container	corelogic-deed	rg-storage-rewn-prod-cin
Storage	azurerm_storage_container	corelogic-tax	rg-storage-rewn-prod-cin
Storage	azurerm_storage_container	corelogic-hoamx	rg-storage-rewn-prod-cin
Storage	azurerm_storage_container	corelogic-foreclosure	rg-storage-rewn-prod-cin
Storage	azurerm_storage_container	corelogic-involuntary	rg-storage-rewn-prod-cin
Storage	azurerm_storage_container	source-data-archive	rg-storage-rewn-prod-cin
Storage	azurerm_storage_share	user-efs	rg-storage-rewn-prod-cin
Storage	azurerm_storage_account	strewnbackupprod001	rg-storage-rewn-prod-cin
Storage	azurerm_storage_container	realproprt-backups	rg-storage-rewn-prod-cin
Storage	azurerm_storage_container	realproprt-backups-mirror	rg-storage-rewn-prod-cin
Storage	azurerm_storage_share	nginx-webroot	rg-storage-rewn-prod-cin
Storage	azurerm_storage_account	strewnstaticprod001	rg-storage-rewn-prod-cin
Storage	azurerm_storage_container	rewn-cdn	rg-storage-rewn-prod-cin
Storage	azurerm_storage_container	rewn-realestatewealthnetwork-com	rg-storage-rewn-prod-cin
Storage	azurerm_storage_share	application-share	rg-storage-rewn-prod-cin
Storage	azurerm_storage_account	stfuncrewnprod001	rg-storage-rewn-prod-cin
Storage	azurerm_storage_account	stmigrationrewnprod	rg-storage-rewn-prod-cin
Storage	azurerm_private_endpoint	pep-storage-app	rg-storage-rewn-prod-cin
Storage	azurerm_private_endpoint	pep-storage-data	rg-storage-rewn-prod-cin
Storage	azurerm_private_endpoint	pep-storage-migration	rg-storage-rewn-prod-cin
Security	azurerm_key_vault	kv-rewn-prod-cin	rg-security-rewn-prod-cin
Security	azurerm_key_vault_secret	mysql-admin-password	rg-security-rewn-prod-cin
Security	azurerm_key_vault_secret	mysql-connection-string	rg-security-rewn-prod-cin
Security	azurerm_user_assigned_identity	mi-aks-prod	rg-security-rewn-prod-cin
Monitoring	azurerm_log_analytics_workspace	law-rewn-prod-cin	rg-monitor-rewn-prod-cin
Monitoring	azurerm_application_insights	ai-rewn-prod-cin	rg-monitor-rewn-prod-cin
Monitoring	azurerm_monitor_action_group	ag-rewn-prod-cin	rg-monitor-rewn-prod-cin
Monitoring	azurerm_monitor_diagnostic_setting	diag-mysql	rg-monitor-rewn-prod-cin
Monitoring	azurerm_monitor_diagnostic_setting	diag-cosmos	rg-monitor-rewn-prod-cin
Monitoring	azurerm_monitor_diagnostic_setting	diag-redis	rg-monitor-rewn-prod-cin
Monitoring	azurerm_monitor_diagnostic_setting	diag-appgw	rg-monitor-rewn-prod-cin
Monitoring	azurerm_monitor_metric_alert	alert-mysql-cpu	rg-monitor-rewn-prod-cin
Monitoring	azurerm_monitor_metric_alert	alert-mysql-storage	rg-monitor-rewn-prod-cin
Ingress	azurerm_public_ip	pip-appgw	rg-compute-rewn-prod-cin
Ingress	azurerm_network_interface	nic-appgw	rg-compute-rewn-prod-cin
Ingress	azurerm_application_gateway	appgw-rewn-prod-cin	rg-compute-rewn-prod-cin
Ingress	azurerm_application_gateway_http_listener	appgw-listener	rg-compute-rewn-prod-cin
Ingress	azurerm_application_gateway_backend_pool	appgw-backend-pool	rg-compute-rewn-prod-cin
Ingress	azurerm_application_gateway_backend_http_settings	appgw-http-settings	rg-compute-rewn-prod-cin
Ingress	azurerm_application_gateway_request_routing_rule	appgw-routing-rule	rg-compute-rewn-prod-cin
Ingress	azurerm_cdn_frontdoor_profile	fd-rewn-prod-cin	rg-compute-rewn-prod-cin
Ingress	azurerm_cdn_frontdoor_origin_group	fd-origin-group	rg-compute-rewn-prod-cin
Ingress	azurerm_cdn_frontdoor_origin	fd-origins	rg-compute-rewn-prod-cin
Ingress	azurerm_cdn_frontdoor_route	fd-routes	rg-compute-rewn-prod-cin
Backup	azurerm_recovery_services_vault	rsv-rewn-prod-cin	rg-compute-rewn-prod-cin
Backup	azurerm_backup_policy_vm	policy-vm-rewn-prod-cin	rg-compute-rewn-prod-cin
Serverless	azurerm_linux_function_app	func-corelogic-prod-cin	rg-compute-rewn-prod-cin
Serverless	azurerm_function_app_function	corelogic-involuntary	rg-compute-rewn-prod-cin
Serverless	azurerm_function_app_function	corelogic-foreclosure	rg-compute-rewn-prod-cin
Serverless	azurerm_function_app_function	corelogic-tax	rg-compute-rewn-prod-cin
Serverless	azurerm_function_app_function	corelogic-hoamx	rg-compute-rewn-prod-cin
Serverless	azurerm_linux_function_app	func-scheduler-prod-cin	rg-compute-rewn-prod-cin
Serverless	azurerm_function_app_function	CoreLogicDeedToS3	rg-compute-rewn-prod-cin
Serverless	azurerm_function_app_function	corelogic-deed	rg-compute-rewn-prod-cin
Serverless	azurerm_function_app_function	EC2-dev-Scheduler	rg-compute-rewn-prod-cin
Migration	azurerm_database_migration_service	dms-rewn-prod	rg-compute-rewn-prod-cin
Migration	azurerm_database_migration_project	mig-mysql-prod	rg-compute-rewn-prod-cin
